timestamp(ms),Angle,AnglePostKalmanFilter,
"1716052888.932","89.42",,
"1716052888.964",,"103.69",
"1716052888.98","90.72",,
"1716052889.012",,"104.11",
"1716052889.028","90.36",,
"1716052889.06","91.91","104.57",
"1716052889.092",,"104.83",
"1716052889.108","92.21",,
"1716052889.14",,"105.33",
"1716052889.156","89.68",,
"1716052889.188",,"105.56",
"1716052889.204","89.3",,
"1716052889.236",,"105.89",
"1716052889.252","90.16",,
"1716052889.284",,"106.18",
"1716052889.3","91.25",,
"1716052889.332",,"106.55",
"1716052889.348","89.19",,
"1716052889.38",,"106.7",
"1716052889.396","90",,
"1716052889.428",,"106.82",
"1716052889.444","90.15",,
"1716052889.476",,"107.02",
"1716052889.492","87.08",,
"1716052889.524",,"107.02",
"1716052889.54","89.53",,
"1716052889.572",,"107.05",
"1716052889.588","87.71",,
"1716052889.62",,"107.17",
"1716052889.636","91.4",,
"1716052889.668",,"107.48",
"1716052889.684","88.42",,
"1716052889.715",,"107.42",
"1716052889.716","87.64",,
"1716052889.748",,"107.61",
"1716052889.764","88.58",,
"1716052889.796",,"107.93",
"1716052889.811","90.61",,
"1716052889.843",,"108.04",
"1716052889.86","86.8",,
"1716052889.892",,"107.87",
"1716052889.908","90.43",,
"1716052889.94",,"108.05",
"1716052889.955","87.47",,
"1716052889.988",,"108.04",
"1716052890.004","89.87",,
"1716052890.036",,"107.95",
"1716052890.052","85.38",,
"1716052890.083",,"107.76",
"1716052890.099","90.17",,
"1716052890.132",,"107.86",
"1716052890.147","89.82",,
"1716052890.179",,"107.9",
"1716052890.196","88.76",,
"1716052890.228",,"107.94",
"1716052890.243","87.6",,
"1716052890.276",,"107.78",
"1716052890.292","89.55",,
"1716052890.324",,"107.97",
"1716052890.34","89.97",,
"1716052890.371","90.49","107.89",
"1716052890.404",,"107.92",
"1716052890.42","88.54",,
"1716052890.451",,"107.94",
"1716052890.467","88.25",,
"1716052890.499",,"107.9",
"1716052890.515","91.31",,
"1716052890.547",,"108.01",
"1716052890.563","92.71",,
"1716052890.596",,"108.12",
"1716052890.611","90.14",,
"1716052890.643",,"108.11",
"1716052890.66","92.57",,
"1716052890.691",,"108.19",
"1716052890.707","87.42",,
"1716052890.739",,"108.1",
"1716052890.755","90.38",,
"1716052890.787",,"107.97",
"1716052890.803","89.39",,
"1716052890.836",,"107.88",
"1716052890.851","90.45",,
"1716052890.883",,"107.8",
"1716052890.899","91.01",,
"1716052890.931",,"107.8",
"1716052890.947","90.76",,
"1716052890.979",,"107.62",
"1716052890.995","89.48",,
"1716052891.027","91.48","107.46",
"1716052891.06",,"107.54",
"1716052891.075","89.8",,
"1716052891.107",,"107.3",
"1716052891.123","91.61",,
"1716052891.155",,"107.12",
"1716052891.171","89.9",,
"1716052891.203",,"107.02",
"1716052891.219","90.24",,
"1716052891.251",,"106.7",
"1716052891.267","88.22",,
"1716052891.299",,"106.52",
"1716052891.315","88.47",,
"1716052891.347",,"106.44",
"1716052891.363","86.62",,
"1716052891.395",,"106.04",
"1716052891.411","92.97",,
"1716052891.443",,"105.9",
"1716052891.459","88.99",,
"1716052891.491",,"105.89",
"1716052891.507","87.45",,
"1716052891.539",,"105.63",
"1716052891.555","91.28",,
"1716052891.587",,"105.45",
"1716052891.603","88.29",,
"1716052891.635","89.81","105.34",
"1716052891.683","92.26","105.17",
"1716052891.715",,"105.1",
"1716052891.731","89.3",,
"1716052891.763",,"104.83",
"1716052891.779","88.1",,
"1716052891.811",,"104.54",
"1716052891.827","87.36",,
"1716052891.859",,"104.37",
"1716052891.875","90.39",,
"1716052891.907",,"104.19",
"1716052891.923","91.85",,
"1716052891.955",,"104.13",
"1716052891.971","89.42",,
"1716052892.003",,"103.92",
"1716052892.019","90.97",,
"1716052892.051",,"103.92",
"1716052892.067","90.51",,
"1716052892.099",,"103.6",
"1716052892.115","91.31",,
"1716052892.147",,"103.54",
"1716052892.163","89.97",,
"1716052892.195",,"103.41",
"1716052892.211","91.48",,
"1716052892.243",,"103.19",
"1716052892.259","89.04",,
"1716052892.291","89.22","102.97",
"1716052892.339","90.73","102.84",
"1716052892.371",,"102.64",
"1716052892.387","87.56",,
"1716052892.419",,"102.33",
"1716052892.435","90.07",,
"1716052892.467",,"102.12",
"1716052892.483","92.31",,
"1716052892.515",,"101.96",
"1716052892.531","89.97",,
"1716052892.563",,"101.84",
"1716052892.579","90.55",,
"1716052892.611",,"101.67",
"1716052892.627","93.18",,
"1716052892.659",,"101.66",
"1716052892.675","89.49",,
"1716052892.707",,"101.59",
"1716052892.723","89.41",,
"1716052892.754",,"101.38",
"1716052892.77","89.41",,
"1716052892.803",,"101.12",
"1716052892.818","90.69",,
"1716052892.851",,"101.1",
"1716052892.866","90.03",,
"1716052892.899",,"100.68",
"1716052892.915","87.41",,
"1716052892.947","87.37","100.63",
"1716052892.995","90.36","100.26",
"1716052893.026",,"100.18",
"1716052893.042","89.55",,
"1716052893.074",,"99.83",
"1716052893.09","90.98",,
"1716052893.123",,"99.85",
"1716052893.138","87.94",,
"1716052893.171",,"99.27",
"1716052893.187","92.27",,
"1716052893.218",,"99.41",
"1716052893.234","89.12",,
"1716052893.266",,"99.11",
"1716052893.283","90.42",,
"1716052893.315",,"98.96",
"1716052893.33","89.25",,
"1716052893.346",,"98.75",
"1716052893.363","90.73",,
"1716052893.394",,"98.6",
"1716052893.41","89.72",,
"1716052893.442",,"98.44",
"1716052893.458","90.86",,
"1716052893.491",,"98.21",
"1716052893.506","90.07",,
"1716052893.538",,"98.2",
"1716052893.555","89.06",,
"1716052893.586",,"98.03",
"1716052893.602","90.04",,
"1716052893.634",,"97.77",
"1716052893.65","90.29",,
"1716052893.682","90.5","97.68",
"1716052893.714",,"97.46",
"1716052893.73","89.15",,
"1716052893.762",,"97.37",
"1716052893.778","88.19",,
"1716052893.81",,"97.16",
"1716052893.826","89.99",,
"1716052893.858",,"97.18",
"1716052893.874","90.74",,
"1716052893.906",,"96.6",
"1716052893.922","88.62",,
"1716052893.955",,"96.75",
"1716052893.97","87.43",,
"1716052894.002","93.08","96.21",
"1716052894.034",,"96.54",
"1716052894.05","89.74",,
"1716052894.082",,"96.04",
"1716052894.098","91.78",,
"1716052894.13",,"96.31",
"1716052894.146","89.61",,
"1716052894.178",,"96.01",
"1716052894.194","93.88",,
